rowid,day_time,day,time,stage,title,speakers
1,2021-06-04T09:00:00Z,June 4,9:00 AM,Nakamoto,Opening Remarks,Mayor Francis Suarez
2,2021-06-04T09:40:00Z,June 4,9:40 AM,Nakamoto,Picturing The Hyperbitcoinized World,"Parker Lewis, Saifedean Ammous, Dan Held, Vijay Boyapati"
3,2021-06-04T10:10:00Z,June 4,10:10 AM,Nakamoto,The History Of Money,Nick Szabo
4,2021-06-04T10:40:00Z,June 4,10:40 AM,Nakamoto,Fireside: Michael Saylor And Max Keiser,Michael Saylor
26,2021-06-04T11:00:00Z,June 4,11:00 AM,End Of Fiat,Crypto Garage (Virtual),Thibaut Le Guilly
5,2021-06-04T11:10:00Z,June 4,11:10 AM,Nakamoto,The Milk Of Paradise: Bitcoin And The Western Canon,Allen Farrington
27,2021-06-04T11:15:00Z,June 4,11:15 AM,End Of Fiat,"How Decentralization Dies, But Bitcoin Survives",Brandon Arvanaghi
15,2021-06-04T11:15:00Z,June 4,11:15 AM,Stacking Sats,The Bitcoin Stack,Dhruv Bansal
28,2021-06-04T11:30:00Z,June 4,11:30 AM,End Of Fiat,Hito Wallet Demo,Mike Kirillov
6,2021-06-04T11:30:00Z,June 4,11:30 AM,Nakamoto,Investing In The Bitcoin Ecosystem,Olaf Carlson-Wee
16,2021-06-04T11:40:00Z,June 4,11:40 AM,Stacking Sats,How To Activate Taproot And Future Soft Forks,Matt Corallo
29,2021-06-04T11:45:00Z,June 4,11:45 AM,End Of Fiat,Institutionalization Of Mining,Mike Colyer
7,2021-06-04T12:00:00Z,June 4,12:00 PM,Nakamoto,Fireside: Winklevoss Twins And Pomp,Cameron And Tyler Winklevoss
30,2021-06-04T12:15:00Z,June 4,12:15 PM,End Of Fiat,Tlon / Urbit,Christian Langalis
17,2021-06-04T12:15:00Z,June 4,12:15 PM,Stacking Sats,Bitcoin's Transition To A Multilayer Ecosystem,Wiz
8,2021-06-04T12:25:00Z,June 4,12:25 PM,Nakamoto,Banking The Unbanked,Jack Dorsey
31,2021-06-04T12:30:00Z,June 4,12:30 PM,End Of Fiat,Sapio Presentation,Jeremy Rubin
18,2021-06-04T12:40:00Z,June 4,12:40 PM,Stacking Sats,Building Lightning Businesses,Jack Mallers
32,2021-06-04T13:00:00Z,June 4,1:00 PM,End Of Fiat,Lunch,NA
9,2021-06-04T13:00:00Z,June 4,1:00 PM,Nakamoto,Lunch,NA
19,2021-06-04T13:10:00Z,June 4,1:10 PM,Stacking Sats,Who Is A Bitcoiner?,Nimrod Lehavi
33,2021-06-04T13:30:00Z,June 4,1:30 PM,End Of Fiat,Drivechain Demo,Paul Sztorc
20,2021-06-04T13:40:00Z,June 4,1:40 PM,Stacking Sats,"Bitcoin, Lightning And The Future Of The Creator Economy",BLOND:ISH
34,2021-06-04T13:45:00Z,June 4,1:45 PM,End Of Fiat,The Next 10 Years Of Bitcoin Mining,Edward Evenson
10,2021-06-04T13:45:00Z,June 4,1:45 PM,Nakamoto,Supporting Innovation From Inside The System,Chris Giancarlo
35,2021-06-04T14:00:00Z,June 4,2:00 PM,End Of Fiat,Bitcoin's Path Of Creative Destruction,Guy Swann
21,2021-06-04T14:10:00Z,June 4,2:10 PM,Stacking Sats,Lunch,NA
36,2021-06-04T14:15:00Z,June 4,2:15 PM,End Of Fiat,Introducing The Lolli App,Aubrey Strobel
11,2021-06-04T14:20:00Z,June 4,2:20 PM,Nakamoto,What To Do When Your Country Bans Bitcoin,Alejandro Machado
37,2021-06-04T14:30:00Z,June 4,2:30 PM,End Of Fiat,Allan Stevo,Allan Stevo
22,2021-06-04T14:30:00Z,June 4,2:30 PM,Stacking Sats,Gamifying BTC,Simon Cowell
38,2021-06-04T15:00:00Z,June 4,3:00 PM,End Of Fiat,Ballet Wallet,Bobby Lee
23,2021-06-04T15:00:00Z,June 4,3:00 PM,Stacking Sats,Growing Lightning Infrastructure,Lisa Neigut
12,2021-06-04T15:05:00Z,June 4,3:05 PM,Nakamoto,Bitcoin Makes The Laws,Teana Baker-Taylor
39,2021-06-04T15:15:00Z,June 4,3:15 PM,End Of Fiat,Talos,Justin Schmidt
40,2021-06-04T15:30:00Z,June 4,3:30 PM,End Of Fiat,Smart Contracts On Liquid,Andrew Poelstra
24,2021-06-04T15:30:00Z,June 4,3:30 PM,Stacking Sats,Bitcoin Is DeFi,Oswaldo Lairet
