rowid,type,name_pfx,name_first,name_last,role,description,headshot_url,headshot
1,_keynote,NA,Jack,Dorsey,"Co-Founder, CEO and Chairman of Square","Jack Dorsey is the CEO and Chairman of Square, the CEO of Twitter, and a co-founder of both. NA",https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5f982f84ca231afd8b81678c_jack_dorsey.jpg,=IMAGE(H2)
2,_keynote,NA,Tony,Hawk,"Skateboarding Legend, Entrepreneur, Philanthropist","Tony Hawk is a skateboarding legend, entrepreneur, philanthropist and pioneer in taking countercultural movements mainstream.. Starting his professional skateboarding career at age 14, Hawk quickly rose to the top of the sport and helped to dramatically expand its popularity around the world by launching a national exhibition, skateboard and apparel company and eponymous video game series.",https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e25cc897009_TH-headshot.png,=IMAGE(H3)
3,_keynote,Senator,Cynthia,Lummis,"United States Senator, State of Wyoming",". Cynthia Lummis is the junior senator from Wyoming, and the first female Senator ever elected to represent the Equality State. Born and raised on a ranch outside of Cheyenne, Senator Lummis has dedicated her career to defending Wyoming’s agriculture, mineral and energy resources as well as championing financial innovation. She began her career in the Wyoming State House and Senate, then went on to serve as State Treasurer, and as the at-large member of the U.S. House of Representatives from 2008 to 2016. Now in the U.S. Senate, Senator Lummis serves on the Banking, Housing, and Urban Affairs Committee, the Commerce, Science, and Transportation Committee, and the Environment and Public Works Committee. She is the founder of the U.S. Senate Financial Innovation Caucus, a bipartisan group committed to promoting responsible innovation in the U.S. financial system, and harnessing technology to make markets more inclusive, vibrant and safe for all Americans. Senator Lummis and her late husband have one daughter, son-in-law and two grandsons, affectionately called Gus and Al.",https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6052281cfad73a44843bfc7e_Screen%20Shot%202021-03-17%20at%2011.02.32%20AM.png,=IMAGE(H4)
4,_keynote,NA,Ron,Paul,Former Congressman,. NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60ad7668b889e21b53a757c9_paul_ron_900%20(1).jpg,=IMAGE(H5)
5,_keynote,NA,Michael,Saylor,"Chairman & CEO, MicroStrategy",". Mr. Saylor is a technologist, entrepreneur, business executive, philanthropist, and best-selling author. He currently serves as Chairman of the Board of Directors and Chief Executive Office of MicroStrategy, Inc. (MSTR). Since co-founding the company at the age of 24, Mr. Saylor has built MicroStrategy into a global leader in business intelligence, mobile software, and cloud-based services. In 2012, he authored The Mobile Wave: How Mobile Intelligence Will Change Everything, which earned a spot on The New York Times Best Sellers list. Mr. Saylor attended the Massachusetts Institute of Technology, receiving an S.B. in Aeronautics and Astronautics and an S.B. in Science, Technology, and Society.",https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/603427cbf52b8597df5d4411_Office%20Portrait_MJS.jpg,=IMAGE(H6)
6,_keynote,NA,Nick,Szabo,"Cryptographer, Legal Scholar, Computer Scientist","Nick Szabo is a legal scholar, computer scientist and pioneering cryptographer whose impact on Bitcoin is undeniable.. As one of the first to frequent the in-person ""cypherpunk"" meetings organized by Timothy May, Eric Hughes and others in the 1990s, Szabo poured himself into the topic of digital privacy, though his interests were much more wide ranging.

Beginning in the early 1990s, he developed the concept for ""smart contracts"" that became ubiquitous in the blockchain technology space. His proposal for a decentralized digital currency, bit gold, has been seen as laying critical groundwork for Bitcoin, including through its use of cryptographic puzzles.

His writing on countless complex subjects has been referenced by academics and historians alike, and much of it is hosted on his blog (unenumerated.blogspot.com). His 2002 essay ""Shelling Out: The Origins of Money,"" in which he describes how using money has been embedded in the very DNA of humanity, has shaped the way many understand Bitcoin today.",https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e4f14896ff6_Nick-Szabo.jpg,=IMAGE(H7)
7,featured,NA,BLOND:ISH,,Musical Artist,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60949cf887fb0d060500d732_6E770254-9F94-4913-8D9C-21E1A061E2C6.jpeg,=IMAGE(H8)
8,featured,NA,BTC Lerk,,Bitcoiner,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60934f140525d3f7e4500d8d_987D8B19-89C8-4C99-BC3F-53FAB72D05C5.png,=IMAGE(H9)
9,featured,NA,Commissioner Danielle Cohen Higgins,,"County Commissioner, Miami Dade County",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a6bb95d0da3efd89595d79_461E63EA-59A8-499A-B121-B54E8F231065.jpeg,=IMAGE(H10)
10,featured,NA,Dr Bitcoin MD,,Bitcoiner,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60906b6000f4fa0b353890b4_9E9319CA-EC31-498C-AC11-5FBEC81A53AA.png,=IMAGE(H11)
11,featured,NA,Floyd Mayweather Jr,,Boxing Legend & Entrepreneur,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60aa7282c23da3152eaff1c0_EBC4B07D-F628-460D-9BFE-E3F24C1E2EA3.jpeg,=IMAGE(H12)
12,featured,NA,Heavily Armed Clown,,"Co-Creator, WTF Happened in 1971",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6090670fecd41277e32d7e31_F69AC3BA-311E-4158-A972-E08555859541.png,=IMAGE(H13)
13,featured,NA,Molly,,"CMO, HashKey Hub",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5fb82d979b17831a5970fa06_Image%20from%20iOS%20(4)%20(1).jpg,=IMAGE(H14)
14,featured,NA,Money Man,,"Rapper, Musical Artist",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6080f76792653f60a2faaa74_020EC3E7-87DD-49DD-B19A-6AE21EC23408.jpeg,=IMAGE(H15)
15,featured,NA,NVK,,"Co-Founder & CEO, Coinkite",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8ef7fb897001_nvk.jpeg,=IMAGE(H16)
16,featured,NA,Yu-Chi Lyra Kuo,,Investor/CIO; Advisor; Lecturer at Harvard & Princeton,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a6ba6a4c96233dc4355397_B3F421F4-6DB1-432F-9DE1-B04F29C6E4C8.jpeg,=IMAGE(H17)
17,featured,NA,wiz,@wiz,Bitcoiner,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e460b89700c_wiz.jpg,=IMAGE(H18)
18,featured,NA,Sam,Abbassi,Bitcoiner,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a7e0be91a1bf70bd9ec53c_1200349467148817.46RgXgSuCZcefWyswKsR_height640.png,=IMAGE(H19)
19,featured,NA,David,Abner,"Global Head of Business Development, Gemini",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60936cf8fc478a71640f0ab5_44312654-3A87-46A3-A99B-4A1B54EA8EF3.jpeg,=IMAGE(H20)
20,featured,NA,Alex,Adelman,"CEO & Co-Founder, Lolli",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6064e745c94283949ccb04c3_9B28CB46-2BBF-4A01-AA68-25AA37D2CC2B.jpeg,=IMAGE(H21)
21,featured,NA,Matt,Ahlborg,"Data Scientist, Bitrefill",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a6bb12e37f5243473499d3_BA370010-177A-4937-8530-125B00304E51.png,=IMAGE(H22)
22,featured,NA,Lyn,Alden,"Founder, Lyn Alden Investment Strategy",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b518cd6d3a13dc4049d08_BB84037B-45DE-425C-9382-343935FBA8B5.jpeg,=IMAGE(H23)
23,featured,NA,Saifedean,Ammous,"Author, The Bitcoin Standard",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/607f3c6e828eee3e07ca8bce_13D741AC-B95B-472C-B7B2-B2A627C830CF.jpeg,=IMAGE(H24)
24,featured,NA,Yuriy,Anosov,"Head of Trading, Anchorage",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60934d4fac5c341378ae6fa3_02B1C169-EB41-4D4A-82DC-F3173D3FB966.png,=IMAGE(H25)
25,featured,NA,Brandon,Arvanaghi,Bitcoin Mining Engineer,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/606f325d7fcb1446ce6b077b_77B7807A-C785-41B8-80F9-1636E964E278.jpeg,=IMAGE(H26)
26,featured,NA,David,Bailey,CEO of BTC Inc,NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ac5a3c8e4e838968c8_5acfe57ee5ca67548d56cc0c_david-3.jpg,=IMAGE(H27)
27,featured,NA,Teana,Baker-Taylor,"General Manager, U.K., Crypto.com",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6054f55362c73637db2d4855_176845FC-AE79-42D1-8E66-72CCBC9338DC.jpeg,=IMAGE(H28)
28,featured,NA,Sam,Bankman-Fried,"CEO, FTX",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e8105897161_SamBankmanFried.jpg,=IMAGE(H29)
29,featured,NA,Dhruv,Bansal,"Co-Founder & CSO, Unchained Capital",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6088803ebeeb5b5b629e270e_AF512D19-C4E5-4B60-8D93-FCDF8FE42C7A.jpeg,=IMAGE(H30)
30,featured,NA,Steve,Barbour,"CEO & CTO, Upstream Data",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60770b059bb8307a8bd3d5b7_65C767E2-84E2-41DF-9A4D-84ADDF50A671.jpeg,=IMAGE(H31)
31,featured,NA,Philippe,Bekhazi,"CEO, XBTO",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a5674bdb2c6565fef65836_C6F15BA0-EFE6-4C65-8FB5-75C29429E22C.jpeg,=IMAGE(H32)
32,featured,NA,Mike,Belshe,"Co-Founder & CEO, BitGo",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6054e9c0a2bd4e0ae7295ef4_Mike%20Belshe.jpg,=IMAGE(H33)
33,featured,NA,Marty,Bent,"Co-Host, Tales From The Crypt",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e7558897027_MartyBent.jpeg,=IMAGE(H34)
34,featured,NA,Adam,Bergman,"Founder & CEO, IRA Financial",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/608c692ed681be525d1f2e07_F1CCF35D-115D-4431-ACDB-1C1037A0F66E.jpeg,=IMAGE(H35)
35,featured,NA,Erik,Bethel,"Former Executive Director, World Bank",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6080ed62b0a6b71a6e0036ed_BA1708A9-F65B-4176-8B83-1F84304983B7.jpeg,=IMAGE(H36)
